Unique ID,Sub Variety,ITEM NAME
Bp560,Super Brown,FINISHED GOODS
Bp561,Super Brown,B-Q
Bp562,Super Brown,B-1
Bp563,Super Brown,B-2
Bp564,Super Brown,B-2 CSR
Bp565,Super Brown,B-3
Bp566,Super Brown,CSR
Bp567,Super Brown,PADDY
Bp568,Super Brown,CHOBA
Bp569,Super Brown,RICE POLISH
Bp570,Super Brown,DUST
Bp571,Super Brown,EMPTY BAGS WEIGHT
Bp572,Super Brown,EXCESS EXPORT
Bp573,Super Brown,WEIGHT LOSS
Bp574,Super Brown Sela,FINISHED GOODS
Bp575,Super Brown Sela,B-Q
Bp576,Super Brown Sela,B-1
Bp577,Super Brown Sela,B-2
Bp578,Super Brown Sela,B-2 CSR
Bp579,Super Brown Sela,B-3
Bp580,Super Brown Sela,CSR
Bp581,Super Brown Sela,PADDY
Bp582,Super Brown Sela,CHOBA
Bp583,Super Brown Sela,RICE POLISH
Bp584,Super Brown Sela,DUST
Bp585,Super Brown Sela,EMPTY BAGS WEIGHT
Bp586,Super Brown Sela,EXCESS EXPORT
Bp587,Super Brown Sela,WEIGHT LOSS
Bp588,Super Brown Steam,FINISHED GOODS
Bp589,Super Brown Steam,B-Q
Bp590,Super Brown Steam,B-1
Bp591,Super Brown Steam,B-2
Bp592,Super Brown Steam,B-2 CSR
Bp593,Super Brown Steam,B-3
Bp594,Super Brown Steam,CSR
Bp595,Super Brown Steam,PADDY
Bp596,Super Brown Steam,CHOBA
Bp597,Super Brown Steam,RICE POLISH
Bp598,Super Brown Steam,DUST
Bp599,Super Brown Steam,EMPTY BAGS WEIGHT
Bp600,Super Brown Steam,EXCESS EXPORT
Bp601,Super Brown Steam,WEIGHT LOSS
Bp602,1121 Brown,FINISHED GOODS
Bp603,1121 Brown,B-Q
Bp604,1121 Brown,B-1
Bp605,1121 Brown,B-2
Bp606,1121 Brown,B-2 CSR
Bp607,1121 Brown,B-3
Bp608,1121 Brown,CSR
Bp609,1121 Brown,PADDY
Bp610,1121 Brown,CHOBA
Bp611,1121 Brown,RICE POLISH
Bp612,1121 Brown,DUST
Bp613,1121 Brown,EMPTY BAGS WEIGHT
Bp614,1121 Brown,EXCESS EXPORT
Bp615,1121 Brown,WEIGHT LOSS
Bp616,1121 Brown Sela,FINISHED GOODS
Bp617,1121 Brown Sela,B-Q
Bp618,1121 Brown Sela,B-1
Bp619,1121 Brown Sela,B-2
Bp620,1121 Brown Sela,B-2 CSR
Bp621,1121 Brown Sela,B-3
Bp622,1121 Brown Sela,CSR
Bp623,1121 Brown Sela,PADDY
Bp624,1121 Brown Sela,CHOBA
Bp625,1121 Brown Sela,RICE POLISH
Bp626,1121 Brown Sela,DUST
Bp627,1121 Brown Sela,EMPTY BAGS WEIGHT
Bp628,1121 Brown Sela,EXCESS EXPORT
Bp629,1121 Brown Sela,WEIGHT LOSS
Bp630,1121 Brown Steam,FINISHED GOODS
Bp631,1121 Brown Steam,B-Q
Bp632,1121 Brown Steam,B-1
Bp633,1121 Brown Steam,B-2
Bp634,1121 Brown Steam,B-2 CSR
Bp635,1121 Brown Steam,B-3
Bp636,1121 Brown Steam,CSR
Bp637,1121 Brown Steam,PADDY
Bp638,1121 Brown Steam,CHOBA
Bp639,1121 Brown Steam,RICE POLISH
Bp640,1121 Brown Steam,DUST
Bp641,1121 Brown Steam,EMPTY BAGS WEIGHT
Bp642,1121 Brown Steam,EXCESS EXPORT
Bp643,1121 Brown Steam,WEIGHT LOSS
Bp644,1509 Brown,FINISHED GOODS
Bp645,1509 Brown,B-Q
Bp646,1509 Brown,B-1
Bp647,1509 Brown,B-2
Bp648,1509 Brown,B-2 CSR
Bp649,1509 Brown,B-3
Bp650,1509 Brown,CSR
Bp651,1509 Brown,PADDY
Bp652,1509 Brown,CHOBA
Bp653,1509 Brown,RICE POLISH
Bp654,1509 Brown,DUST
Bp655,1509 Brown,EMPTY BAGS WEIGHT
Bp656,1509 Brown,EXCESS EXPORT
Bp657,1509 Brown,WEIGHT LOSS
Bp658,1509 Brown Sela,FINISHED GOODS
Bp659,1509 Brown Sela,B-Q
Bp660,1509 Brown Sela,B-1
Bp661,1509 Brown Sela,B-2
Bp662,1509 Brown Sela,B-2 CSR
Bp663,1509 Brown Sela,B-3
Bp664,1509 Brown Sela,CSR
Bp665,1509 Brown Sela,PADDY
Bp666,1509 Brown Sela,CHOBA
Bp667,1509 Brown Sela,RICE POLISH
Bp668,1509 Brown Sela,DUST
Bp669,1509 Brown Sela,EMPTY BAGS WEIGHT
Bp670,1509 Brown Sela,EXCESS EXPORT
Bp671,1509 Brown Sela,WEIGHT LOSS
Bp672,1509 Brown Steam,FINISHED GOODS
Bp673,1509 Brown Steam,B-Q
Bp674,1509 Brown Steam,B-1
Bp675,1509 Brown Steam,B-2
Bp676,1509 Brown Steam,B-2 CSR
Bp677,1509 Brown Steam,B-3
Bp678,1509 Brown Steam,CSR
Bp679,1509 Brown Steam,PADDY
Bp680,1509 Brown Steam,CHOBA
Bp681,1509 Brown Steam,RICE POLISH
Bp682,1509 Brown Steam,DUST
Bp683,1509 Brown Steam,EMPTY BAGS WEIGHT
Bp684,1509 Brown Steam,EXCESS EXPORT
Bp685,1509 Brown Steam,WEIGHT LOSS
Bp686,Super Chanab Brown,FINISHED GOODS
Bp687,Super Chanab Brown,B-Q
Bp688,Super Chanab Brown,B-1
Bp689,Super Chanab Brown,B-2
Bp690,Super Chanab Brown,B-2 CSR
Bp691,Super Chanab Brown,B-3
Bp692,Super Chanab Brown,CSR
Bp693,Super Chanab Brown,PADDY
Bp694,Super Chanab Brown,CHOBA
Bp695,Super Chanab Brown,RICE POLISH
Bp696,Super Chanab Brown,DUST
Bp697,Super Chanab Brown,EMPTY BAGS WEIGHT
Bp698,Super Chanab Brown,EXCESS EXPORT
Bp699,Super Chanab Brown,WEIGHT LOSS
Bp700,Super Chanab Brown Sela,FINISHED GOODS
Bp701,Super Chanab Brown Sela,B-Q
Bp702,Super Chanab Brown Sela,B-1
Bp703,Super Chanab Brown Sela,B-2
Bp704,Super Chanab Brown Sela,B-2 CSR
Bp705,Super Chanab Brown Sela,B-3
Bp706,Super Chanab Brown Sela,CSR
Bp707,Super Chanab Brown Sela,PADDY
Bp708,Super Chanab Brown Sela,CHOBA
Bp709,Super Chanab Brown Sela,RICE POLISH
Bp710,Super Chanab Brown Sela,DUST
Bp711,Super Chanab Brown Sela,EMPTY BAGS WEIGHT
Bp712,Super Chanab Brown Sela,EXCESS EXPORT
Bp713,Super Chanab Brown Sela,WEIGHT LOSS
Bp714,Super Chanab Brown Steam,FINISHED GOODS
Bp715,Super Chanab Brown Steam,B-Q
Bp716,Super Chanab Brown Steam,B-1
Bp717,Super Chanab Brown Steam,B-2
Bp718,Super Chanab Brown Steam,B-2 CSR
Bp719,Super Chanab Brown Steam,B-3
Bp720,Super Chanab Brown Steam,CSR
Bp721,Super Chanab Brown Steam,PADDY
Bp722,Super Chanab Brown Steam,CHOBA
Bp723,Super Chanab Brown Steam,RICE POLISH
Bp724,Super Chanab Brown Steam,DUST
Bp725,Super Chanab Brown Steam,EMPTY BAGS WEIGHT
Bp726,Super Chanab Brown Steam,EXCESS EXPORT
Bp727,Super Chanab Brown Steam,WEIGHT LOSS
Bp728,D-98 Brown,FINISHED GOODS
Bp729,D-98 Brown,B-Q
Bp730,D-98 Brown,B-1
Bp731,D-98 Brown,B-2
Bp732,D-98 Brown,B-2 CSR
Bp733,D-98 Brown,B-3
Bp734,D-98 Brown,CSR
Bp735,D-98 Brown,PADDY
Bp736,D-98 Brown,CHOBA
Bp737,D-98 Brown,RICE POLISH
Bp738,D-98 Brown,DUST
Bp739,D-98 Brown,EMPTY BAGS WEIGHT
Bp740,D-98 Brown,EXCESS EXPORT
Bp741,D-98 Brown,WEIGHT LOSS
Bp742,D-98 Brown Sela,FINISHED GOODS
Bp743,D-98 Brown Sela,B-Q
Bp744,D-98 Brown Sela,B-1
Bp745,D-98 Brown Sela,B-2
Bp746,D-98 Brown Sela,B-2 CSR
Bp747,D-98 Brown Sela,B-3
Bp748,D-98 Brown Sela,CSR
Bp749,D-98 Brown Sela,PADDY
Bp750,D-98 Brown Sela,CHOBA
Bp751,D-98 Brown Sela,RICE POLISH
Bp752,D-98 Brown Sela,DUST
Bp753,D-98 Brown Sela,EMPTY BAGS WEIGHT
Bp754,D-98 Brown Sela,EXCESS EXPORT
Bp755,D-98 Brown Sela,WEIGHT LOSS
Bp756,D-98 Brown Steam,FINISHED GOODS
Bp757,D-98 Brown Steam,B-Q
Bp758,D-98 Brown Steam,B-1
Bp759,D-98 Brown Steam,B-2
Bp760,D-98 Brown Steam,B-2 CSR
Bp761,D-98 Brown Steam,B-3
Bp762,D-98 Brown Steam,CSR
Bp763,D-98 Brown Steam,PADDY
Bp764,D-98 Brown Steam,CHOBA
Bp765,D-98 Brown Steam,RICE POLISH
Bp766,D-98 Brown Steam,DUST
Bp767,D-98 Brown Steam,EMPTY BAGS WEIGHT
Bp768,D-98 Brown Steam,EXCESS EXPORT
Bp769,D-98 Brown Steam,WEIGHT LOSS
Bp770,Irri-6 Brown,FINISHED GOODS
Bp771,Irri-6 Brown,B-Q
Bp772,Irri-6 Brown,B-1
Bp773,Irri-6 Brown,B-2
Bp774,Irri-6 Brown,B-2 CSR
Bp775,Irri-6 Brown,B-3
Bp776,Irri-6 Brown,CSR
Bp777,Irri-6 Brown,PADDY
Bp778,Irri-6 Brown,CHOBA
Bp779,Irri-6 Brown,RICE POLISH
Bp780,Irri-6 Brown,DUST
Bp781,Irri-6 Brown,EMPTY BAGS WEIGHT
Bp782,Irri-6 Brown,EXCESS EXPORT
Bp783,Irri-6 Brown,WEIGHT LOSS
Bp784,Irri-6 Brown Sela,FINISHED GOODS
Bp785,Irri-6 Brown Sela,B-Q
Bp786,Irri-6 Brown Sela,B-1
Bp787,Irri-6 Brown Sela,B-2
Bp788,Irri-6 Brown Sela,B-2 CSR
Bp789,Irri-6 Brown Sela,B-3
Bp790,Irri-6 Brown Sela,CSR
Bp791,Irri-6 Brown Sela,PADDY
Bp792,Irri-6 Brown Sela,CHOBA
Bp793,Irri-6 Brown Sela,RICE POLISH
Bp794,Irri-6 Brown Sela,DUST
Bp795,Irri-6 Brown Sela,EMPTY BAGS WEIGHT
Bp796,Irri-6 Brown Sela,EXCESS EXPORT
Bp797,Irri-6 Brown Sela,WEIGHT LOSS
Bp798,Irri-6 Brown Steam,FINISHED GOODS
Bp799,Irri-6 Brown Steam,B-Q
Bp800,Irri-6 Brown Steam,B-1
Bp801,Irri-6 Brown Steam,B-2
Bp802,Irri-6 Brown Steam,B-2 CSR
Bp803,Irri-6 Brown Steam,B-3
Bp804,Irri-6 Brown Steam,CSR
Bp805,Irri-6 Brown Steam,PADDY
Bp806,Irri-6 Brown Steam,CHOBA
Bp807,Irri-6 Brown Steam,RICE POLISH
Bp808,Irri-6 Brown Steam,DUST
Bp809,Irri-6 Brown Steam,EMPTY BAGS WEIGHT
Bp810,Irri-6 Brown Steam,EXCESS EXPORT
Bp811,Irri-6 Brown Steam,WEIGHT LOSS
Bp812,C-9 Brown,FINISHED GOODS
Bp813,C-9 Brown,B-Q
Bp814,C-9 Brown,B-1
Bp815,C-9 Brown,B-2
Bp816,C-9 Brown,B-2 CSR
Bp817,C-9 Brown,B-3
Bp818,C-9 Brown,CSR
Bp819,C-9 Brown,PADDY
Bp820,C-9 Brown,CHOBA
Bp821,C-9 Brown,RICE POLISH
Bp822,C-9 Brown,DUST
Bp823,C-9 Brown,EMPTY BAGS WEIGHT
Bp824,C-9 Brown,EXCESS EXPORT
Bp825,C-9 Brown,WEIGHT LOSS
Bp826,C-9 Brown Sela,FINISHED GOODS
Bp827,C-9 Brown Sela,B-Q
Bp828,C-9 Brown Sela,B-1
Bp829,C-9 Brown Sela,B-2
Bp830,C-9 Brown Sela,B-2 CSR
Bp831,C-9 Brown Sela,B-3
Bp832,C-9 Brown Sela,CSR
Bp833,C-9 Brown Sela,PADDY
Bp834,C-9 Brown Sela,CHOBA
Bp835,C-9 Brown Sela,RICE POLISH
Bp836,C-9 Brown Sela,DUST
Bp837,C-9 Brown Sela,EMPTY BAGS WEIGHT
Bp838,C-9 Brown Sela,EXCESS EXPORT
Bp839,C-9 Brown Sela,WEIGHT LOSS
Bp840,C-9 Brown Steam,FINISHED GOODS
Bp841,C-9 Brown Steam,B-Q
Bp842,C-9 Brown Steam,B-1
Bp843,C-9 Brown Steam,B-2
Bp844,C-9 Brown Steam,B-2 CSR
Bp845,C-9 Brown Steam,B-3
Bp846,C-9 Brown Steam,CSR
Bp847,C-9 Brown Steam,PADDY
Bp848,C-9 Brown Steam,CHOBA
Bp849,C-9 Brown Steam,RICE POLISH
Bp850,C-9 Brown Steam,DUST
Bp851,C-9 Brown Steam,EMPTY BAGS WEIGHT
Bp852,C-9 Brown Steam,EXCESS EXPORT
Bp853,C-9 Brown Steam,WEIGHT LOSS
Bp854,Super Fine Brown,FINISHED GOODS
Bp855,Super Fine Brown,B-Q
Bp856,Super Fine Brown,B-1
Bp857,Super Fine Brown,B-2
Bp858,Super Fine Brown,B-2 CSR
Bp859,Super Fine Brown,B-3
Bp860,Super Fine Brown,CSR
Bp861,Super Fine Brown,PADDY
Bp862,Super Fine Brown,CHOBA
Bp863,Super Fine Brown,RICE POLISH
Bp864,Super Fine Brown,DUST
Bp865,Super Fine Brown,EMPTY BAGS WEIGHT
Bp866,Super Fine Brown,EXCESS EXPORT
Bp867,Super Fine Brown,WEIGHT LOSS
Bp868,Super Fine Brown Sela,FINISHED GOODS
Bp869,Super Fine Brown Sela,B-Q
Bp870,Super Fine Brown Sela,B-1
Bp871,Super Fine Brown Sela,B-2
Bp872,Super Fine Brown Sela,B-2 CSR
Bp873,Super Fine Brown Sela,B-3
Bp874,Super Fine Brown Sela,CSR
Bp875,Super Fine Brown Sela,PADDY
Bp876,Super Fine Brown Sela,CHOBA
Bp877,Super Fine Brown Sela,RICE POLISH
Bp878,Super Fine Brown Sela,DUST
Bp879,Super Fine Brown Sela,EMPTY BAGS WEIGHT
Bp880,Super Fine Brown Sela,EXCESS EXPORT
Bp881,Super Fine Brown Sela,WEIGHT LOSS
Bp882,Super Fine Brown Steam,FINISHED GOODS
Bp883,Super Fine Brown Steam,B-Q
Bp884,Super Fine Brown Steam,B-1
Bp885,Super Fine Brown Steam,B-2
Bp886,Super Fine Brown Steam,B-2 CSR
Bp887,Super Fine Brown Steam,B-3
Bp888,Super Fine Brown Steam,CSR
Bp889,Super Fine Brown Steam,PADDY
Bp890,Super Fine Brown Steam,CHOBA
Bp891,Super Fine Brown Steam,RICE POLISH
Bp892,Super Fine Brown Steam,DUST
Bp893,Super Fine Brown Steam,EMPTY BAGS WEIGHT
Bp894,Super Fine Brown Steam,EXCESS EXPORT
Bp895,Super Fine Brown Steam,WEIGHT LOSS
Bp896,386 Brown,FINISHED GOODS
Bp897,386 Brown,B-Q
Bp898,386 Brown,B-1
Bp899,386 Brown,B-2
Bp900,386 Brown,B-2 CSR
Bp901,386 Brown,B-3
Bp902,386 Brown,CSR
Bp903,386 Brown,PADDY
Bp904,386 Brown,CHOBA
Bp905,386 Brown,RICE POLISH
Bp906,386 Brown,DUST
Bp907,386 Brown,EMPTY BAGS WEIGHT
Bp908,386 Brown,EXCESS EXPORT
Bp909,386 Brown,WEIGHT LOSS
Bp910,386 Brown Sela,FINISHED GOODS
Bp911,386 Brown Sela,B-Q
Bp912,386 Brown Sela,B-1
Bp913,386 Brown Sela,B-2
Bp914,386 Brown Sela,B-2 CSR
Bp915,386 Brown Sela,B-3
Bp916,386 Brown Sela,CSR
Bp917,386 Brown Sela,PADDY
Bp918,386 Brown Sela,CHOBA
Bp919,386 Brown Sela,RICE POLISH
Bp920,386 Brown Sela,DUST
Bp921,386 Brown Sela,EMPTY BAGS WEIGHT
Bp922,386 Brown Sela,EXCESS EXPORT
Bp923,386 Brown Sela,WEIGHT LOSS
Bp924,386 Brown Steam,FINISHED GOODS
Bp925,386 Brown Steam,B-Q
Bp926,386 Brown Steam,B-1
Bp927,386 Brown Steam,B-2
Bp928,386 Brown Steam,B-2 CSR
Bp929,386 Brown Steam,B-3
Bp930,386 Brown Steam,CSR
Bp931,386 Brown Steam,PADDY
Bp932,386 Brown Steam,CHOBA
Bp933,386 Brown Steam,RICE POLISH
Bp934,386 Brown Steam,DUST
Bp935,386 Brown Steam,EMPTY BAGS WEIGHT
Bp936,386 Brown Steam,EXCESS EXPORT
Bp937,386 Brown Steam,WEIGHT LOSS
Bp938,385 Brown,FINISHED GOODS
Bp939,385 Brown,B-Q
Bp940,385 Brown,B-1
Bp941,385 Brown,B-2
Bp942,385 Brown,B-2 CSR
Bp943,385 Brown,B-3
Bp944,385 Brown,CSR
Bp945,385 Brown,PADDY
Bp946,385 Brown,CHOBA
Bp947,385 Brown,RICE POLISH
Bp948,385 Brown,DUST
Bp949,385 Brown,EMPTY BAGS WEIGHT
Bp950,385 Brown,EXCESS EXPORT
Bp951,385 Brown,WEIGHT LOSS
Bp952,385 Sela,FINISHED GOODS
Bp953,385 Sela,B-Q
Bp954,385 Sela,B-1
Bp955,385 Sela,B-2
Bp956,385 Sela,B-2 CSR
Bp957,385 Sela,B-3
Bp958,385 Sela,CSR
Bp959,385 Sela,PADDY
Bp960,385 Sela,CHOBA
Bp961,385 Sela,RICE POLISH
Bp962,385 Sela,DUST
Bp963,385 Sela,EMPTY BAGS WEIGHT
Bp964,385 Sela,EXCESS EXPORT
Bp965,385 Sela,WEIGHT LOSS
Bp966,385 Brown Steam,FINISHED GOODS
Bp967,385 Brown Steam,B-Q
Bp968,385 Brown Steam,B-1
Bp969,385 Brown Steam,B-2
Bp970,385 Brown Steam,B-2 CSR
Bp971,385 Brown Steam,B-3
Bp972,385 Brown Steam,CSR
Bp973,385 Brown Steam,PADDY
Bp974,385 Brown Steam,CHOBA
Bp975,385 Brown Steam,RICE POLISH
Bp976,385 Brown Steam,DUST
Bp977,385 Brown Steam,EMPTY BAGS WEIGHT
Bp978,385 Brown Steam,EXCESS EXPORT
Bp979,385 Brown Steam,WEIGHT LOSS
Bp980,Irri-9 Brown,FINISHED GOODS
Bp981,Irri-9 Brown,B-Q
Bp982,Irri-9 Brown,B-1
Bp983,Irri-9 Brown,B-2
Bp984,Irri-9 Brown,B-2 CSR
Bp985,Irri-9 Brown,B-3
Bp986,Irri-9 Brown,CSR
Bp987,Irri-9 Brown,PADDY
Bp988,Irri-9 Brown,CHOBA
Bp989,Irri-9 Brown,RICE POLISH
Bp990,Irri-9 Brown,DUST
Bp991,Irri-9 Brown,EMPTY BAGS WEIGHT
Bp992,Irri-9 Brown,EXCESS EXPORT
Bp993,Irri-9 Brown,WEIGHT LOSS
Bp994,Irri-9 Brown Sela,FINISHED GOODS
Bp995,Irri-9 Brown Sela,B-Q
Bp996,Irri-9 Brown Sela,B-1
Bp997,Irri-9 Brown Sela,B-2
Bp998,Irri-9 Brown Sela,B-2 CSR
Bp999,Irri-9 Brown Sela,B-3
Bp1000,Irri-9 Brown Sela,CSR
Bp1001,Irri-9 Brown Sela,PADDY
Bp1002,Irri-9 Brown Sela,CHOBA
Bp1003,Irri-9 Brown Sela,RICE POLISH
Bp1004,Irri-9 Brown Sela,DUST
Bp1005,Irri-9 Brown Sela,EMPTY BAGS WEIGHT
Bp1006,Irri-9 Brown Sela,EXCESS EXPORT
Bp1007,Irri-9 Brown Sela,WEIGHT LOSS
Bp1008,Irri-9 Brown Steam,FINISHED GOODS
Bp1009,Irri-9 Brown Steam,B-Q
Bp1010,Irri-9 Brown Steam,B-1
Bp1011,Irri-9 Brown Steam,B-2
Bp1012,Irri-9 Brown Steam,B-2 CSR
Bp1013,Irri-9 Brown Steam,B-3
Bp1014,Irri-9 Brown Steam,CSR
Bp1015,Irri-9 Brown Steam,PADDY
Bp1016,Irri-9 Brown Steam,CHOBA
Bp1017,Irri-9 Brown Steam,RICE POLISH
Bp1018,Irri-9 Brown Steam,DUST
Bp1019,Irri-9 Brown Steam,EMPTY BAGS WEIGHT
Bp1020,Irri-9 Brown Steam,EXCESS EXPORT
Bp1021,Irri-9 Brown Steam,WEIGHT LOSS
Bp1022,Blended White,FINISHED GOODS
Bp1023,Blended White,B-Q
Bp1024,Blended White,B-1
Bp1025,Blended White,B-2
Bp1026,Blended White,B-2 CSR
Bp1027,Blended White,B-3
Bp1028,Blended White,CSR
Bp1029,Blended Sela,FINISHED GOODS
Bp1030,Blended Sela,B-Q
Bp1031,Blended Sela,B-1
Bp1032,Blended Sela,B-2
Bp1033,Blended Sela,B-2 CSR
Bp1034,Blended Sela,B-3
Bp1035,Blended Sela,CSR
Bp1036,Blended Steam,FINISHED GOODS
Bp1037,Blended Steam,B-Q
Bp1038,Blended Steam,B-1
Bp1039,Blended Steam,B-2
Bp1040,Blended Steam,B-2 CSR
Bp1041,Blended Steam,B-3
Bp1042,Blended Steam,CSR
Bp1043,Blended Brown,FINISHED GOODS
Bp1044,Blended Brown,B-Q
Bp1045,Blended Brown,B-1
Bp1046,Blended Brown,B-2
Bp1047,Blended Brown,B-2 CSR
Bp1048,Blended Brown,B-3
Bp1049,Blended Brown,CSR
Bp1050,Blended Brown Sela,FINISHED GOODS
Bp1051,Blended Brown Sela,B-Q
Bp1052,Blended Brown Sela,B-1
Bp1053,Blended Brown Sela,B-2
Bp1054,Blended Brown Sela,B-2 CSR
Bp1055,Blended Brown Sela,B-3
Bp1056,Blended Brown Sela,CSR
Bp1057,Blended Brown Steam,FINISHED GOODS
Bp1058,Blended Brown Steam,B-Q
Bp1059,Blended Brown Steam,B-1
Bp1060,Blended Brown Steam,B-2
Bp1061,Blended Brown Steam,B-2 CSR
Bp1062,Blended Brown Steam,B-3
Bp1063,Blended Brown Steam,CSR